CodigoFamilia,TipoDocumento,RangoEdad,NombreDepartamentoAtencion,NombreMunicipioAtencion,Discapacidad,Estrato,Genero,EstadoBeneficiario,Logro17,PE35,HE20
HID58821807,CC,18-29,CUNDINAMARCA,LENGUAZAQUE,NO,2,Hombre,ACTIVO,ALCANZADO,No,No
HID13071558,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID17926237,CC,30-49,CUNDINAMARCA,ZIPAQUIRA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID50890354,CC,>65,CUNDINAMARCA,PASCA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID47181781,CC,50-65,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID78611292,CC,30-49,CUNDINAMARCA,GIRARDOT,ND,0,Mujer,ACTIVO,ALCANZADO,No,No
HID52671510,TI,18-29,CUNDINAMARCA,GUAYABETAL,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID13884008,RC,06-17,CUNDINAMARCA,FUNZA,ND,99,Hombre,ACTIVO,NO APLICA,No,No
HID69791057,CC,50-65,CUNDINAMARCA,ARBELAEZ,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID82942891,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID49630080,TI,18-29,CUNDINAMARCA,SILVANIA,NO,1,Hombre,ACTIVO,NO APLICA,No,No
HID81304449,CC,>65,CUNDINAMARCA,PAIME,ND,0,Hombre,ACTIVO,ALCANZADO,No,No
HID49508071,TI,18-29,CUNDINAMARCA,SUPATA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID90324084,TI,18-29,CUNDINAMARCA,GUACHETA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID22356234,CC,30-49,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID42666276,CC,50-65,CUNDINAMARCA,LA MESA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID61221270,TI,18-29,CUNDINAMARCA,VILLAGOMEZ,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID72202042,CC,30-49,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID18205434,CC,50-65,CUNDINAMARCA,SOACHA,NO,1,Hombre,NO ACTIVO,ALCANZADO,No,No
HID33417196,CC,>65,CUNDINAMARCA,JUNIN,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID91090958,TI,06-17,CUNDINAMARCA,ZIPAQUIRA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID78833272,TI,18-29,CUNDINAMARCA,SIBATE,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID85683167,TI,06-17,CUNDINAMARCA,VERGARA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID70984939,CC,50-65,CUNDINAMARCA,AGUA DE DIOS,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID86880425,TI,18-29,CUNDINAMARCA,ANOLAIMA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID94665870,CC,18-29,CUNDINAMARCA,CUCUNUBA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID47258115,TI,18-29,CUNDINAMARCA,VIOTA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID20738652,TI,18-29,CUNDINAMARCA,BITUIMA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID22088335,CC,50-65,CUNDINAMARCA,QUETAME,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID30699462,CC,30-49,CUNDINAMARCA,SOACHA,ND,99,Mujer,ACTIVO,ALCANZADO,No,No
HID32455961,CC,30-49,CUNDINAMARCA,MANTA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID76251089,TI,18-29,CUNDINAMARCA,SAN BERNARDO,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID32073066,TI,18-29,CUNDINAMARCA,GUACHETA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID49418691,CC,>65,CUNDINAMARCA,SOACHA,ND,1,Mujer,ACTIVO,ALCANZADO,No,No
HID31611268,CC,30-49,CUNDINAMARCA,LA MESA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID99555582,CC,50-65,CUNDINAMARCA,VILLETA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID54973503,TI,06-17,CUNDINAMARCA,FUSAGASUGA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID98169320,TI,18-29,CUNDINAMARCA,BELTRAN,NO,0,Hombre,NO ACTIVO,ALCANZADO,No,No
HID91849528,CC,50-65,CUNDINAMARCA,FACATATIVA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID97465305,TI,18-29,CUNDINAMARCA,GIRARDOT,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID17790114,TI,06-17,CUNDINAMARCA,GIRARDOT,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID11141171,RC,06-17,CUNDINAMARCA,CHIA,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID53633425,TI,18-29,CUNDINAMARCA,GUADUAS,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID57015978,RC,06-17,CUNDINAMARCA,FUSAGASUGA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID82831271,CC,50-65,CUNDINAMARCA,CAQUEZA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID82949583,TI,18-29,CUNDINAMARCA,GIRARDOT,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID40515845,TI,18-29,CUNDINAMARCA,MOSQUERA,NO,0,Mujer,NO ACTIVO,ALCANZADO,No,No
HID41643797,CC,50-65,CUNDINAMARCA,BELTRAN,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID75208677,CC,>65,CUNDINAMARCA,TIBIRITA,NO,1,Hombre,ACTIVO,POR ALCANZAR,No,No
HID12778534,TI,06-17,CUNDINAMARCA,UBAQUE,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID61387917,TI,18-29,CUNDINAMARCA,SOACHA,NO,1,Hombre,ACTIVO,NO APLICA,No,No
HID27002331,CC,30-49,CUNDINAMARCA,TOCAIMA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID15953342,CC,>65,CUNDINAMARCA,JUNIN,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID46695832,CC,30-49,CUNDINAMARCA,CHIPAQUE,NO,1,Hombre,ACTIVO,ALCANZADO,No,No
HID99685224,CC,>65,CUNDINAMARCA,GACHETA,NO,0,Hombre,ACTIVO,ALCANZADO,No,No
HID49089533,CC,50-65,CUNDINAMARCA,VILLAGOMEZ,SI,1,Mujer,ACTIVO,ALCANZADO,Si,No
HID43546579,TI,18-29,CUNDINAMARCA,GIRARDOT,NO,0,Hombre,NO ACTIVO,ALCANZADO,No,No
HID83985568,TI,18-29,CUNDINAMARCA,PAIME,NO,0,Mujer,ACTIVO,NO APLICA,No,No
HID93561412,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID44664663,TI,18-29,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,NO APLICA,No,Si
HID99466930,CC,>65,CUNDINAMARCA,SOACHA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID69666642,TI,06-17,CUNDINAMARCA,SOACHA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
HID58018822,TI,18-29,CUNDINAMARCA,FACATATIVA,SI,0,Hombre,ACTIVO,NO APLICA,Si,No
HID70127032,CC,50-65,CUNDINAMARCA,CARMEN DE CARUPA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID72059972,CC,>65,CUNDINAMARCA,ALBAN,ND,2,Mujer,ACTIVO,ALCANZADO,No,No
HID91573037,CC,30-49,CUNDINAMARCA,TOCAIMA,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID83985568,CC,50-65,CUNDINAMARCA,PAIME,NO,0,Mujer,ACTIVO,ALCANZADO,No,No
HID99526002,CC,30-49,CUNDINAMARCA,SUTATAUSA,NO,0,Mujer,ACTIVO,ALCANZADO,Si,No
HID81403744,TI,06-17,CUNDINAMARCA,CABRERA,NO,0,Hombre,ACTIVO,NO APLICA,No,No
